Age,Gender,Location,Monthly_Income,Education_Level,Platforms_Used,Influencer_Follow_Frequency,Influencer_Type,Product_Discovery_Mode,Num_Influencer_Purchases,Trust_Score,Influencer_Product_Categories,Purchase_Motivators,Purchase_Concerns,Try_New_Brand_Likelihood,Avg_Monthly_Influencer_Spend,Willingness_to_Spend_on_New,Buy_Now_Link_Likelihood,Prefer_Brand_Transparency,ROI_Transparency_Importance,Biggest_Purchase_Factor,Best_Value_Influencer_Tier,Engagement_with_Influencer_Content,Feels_Oversaturated,Suggestions_Concerns
26,Female,Sydney,9000,Graduate,"YouTube, Others",Never,"Macro-influencers (100,000 to 1 million followers)",Online search,2,3,"Fashion, Others",Quality of content,"Price, Return policies",3,1571,1453,5,Yes,5,Trust,Mid-tier influencers,Often,No,Need more transparency
34,Female,Dubai,46000,Postgraduate,"Instagram, Facebook",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,0,4,"Home & Living, Fashion","Peer influence, Discounts or offers",Price,3,1319,1180,5,Yes,5,Trust,Micro-influencers,Sometimes,No,Lower prices
17,Female,Dubai,13000,Other,"Instagram, Others, Twitter",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,4,"Home & Living, Beauty","Quality of content, Brand reputation, Discounts or offers","Authenticity of product, Return policies",4,3907,6314,5,Yes,4,Other,Mid-tier influencers,Sometimes,No,Better product reviews
33,Male,Berlin,7600,Other,"Twitter, Others",Rarely,"Macro-influencers (100,000 to 1 million followers)",Advertisements,2,2,Beauty,"Discounts or offers, Brand reputation","Price, Return policies",4,2432,3006,3,Yes,2,Product quality,Mid-tier influencers,Sometimes,Yes,Better product reviews
20,Male,London,23200,Postgraduate,"Instagram, Others, Facebook",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,1,5,"Technology, Beauty",Brand reputation,"Delivery issues, Return policies",2,2693,4509,3,No,4,Trust,Micro-influencers,Never,No,No suggestions
16,Female,London,14400,Postgraduate,"Facebook, TikTok",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,1,5,Food & Beverages,Quality of content,"Authenticity of product, Price",1,2583,2623,5,Yes,2,Product quality,Macro-influencers,Sometimes,Yes,Better product reviews
27,Male,London,8100,Postgraduate,"Facebook, Instagram, Others",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,6,3,Others,"Quality of content, Brand reputation, Positive product reviews","Product quality concerns, Return policies",1,4579,6664,4,Yes,4,Product quality,Macro-influencers,Sometimes,Yes,Lower prices
37,Female,New York,7200,Graduate,"Instagram, Twitter, Facebook",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,4,3,"Beauty, Home & Living",Brand reputation,Authenticity of product,3,1455,1408,1,Yes,4,Trust,Mid-tier influencers,Sometimes,Yes,Better product reviews
28,Female,Other,11400,Graduate,"TikTok, Twitter",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,3,3,Fitness,"Discounts or offers, Peer influence, Positive product reviews","Delivery issues, Authenticity of product",3,858,821,4,No,1,Price,Mid-tier influencers,Rarely,No,Improve product quality
21,Male,New York,31800,Graduate,"TikTok, YouTube, Instagram, Others, Facebook, Twitter",Never,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,0,5,Beauty,"Peer influence, Positive product reviews, Discounts or offers","Authenticity of product, Return policies",2,1541,1549,3,Yes,3,Product quality,Macro-influencers,Sometimes,Yes,Need more transparency
16,Female,Other,15500,Graduate,"Facebook, TikTok",Often,"Macro-influencers (100,000 to 1 million followers)",Advertisements,2,4,Technology,Peer influence,Return policies,4,3472,5423,5,Yes,3,Convenience,Mega-influencers,Rarely,No,Collaborate with trusted influencers
26,Male,New York,25000,Postgraduate,"TikTok, Instagram",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,0,4,"Home & Living, Food & Beverages","Quality of content, Brand reputation","Product quality concerns, Delivery issues",2,2381,1924,3,Yes,3,Trust,Macro-influencers,Sometimes,Yes,Better product reviews
30,Male,Other,10200,Graduate,"YouTube, Others",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,0,3,"Fitness, Technology","Peer influence, Brand reputation",Delivery issues,4,738,739,3,No,2,Trust,Mid-tier influencers,Often,Yes,Limit sponsored content
21,Female,New York,21700,Postgraduate,"Others, Facebook",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,1,2,"Others, Fitness","Positive product reviews, Peer influence, Quality of content",Return policies,4,724,949,4,Yes,3,Product quality,Mid-tier influencers,Sometimes,Yes,No suggestions
26,Male,Sydney,10000,Postgraduate,"Facebook, Instagram",Often,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,3,4,"Beauty, Fitness",Discounts or offers,Price,3,461,630,3,No,3,Trust,Mid-tier influencers,Always,Yes,Need more transparency
28,Male,London,30300,Graduate,"Twitter, YouTube, Facebook",Never,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,3,2,"Technology, Beauty",Positive product reviews,"Delivery issues, Return policies",4,2675,2198,4,Yes,4,Price,Mega-influencers,Sometimes,Yes,Need more transparency
67,Female,Berlin,18600,Graduate,"Others, Twitter, Facebook",Rarely,"Macro-influencers (100,000 to 1 million followers)",Online search,1,3,Home & Living,"Discounts or offers, Quality of content, Positive product reviews",Price,3,3380,2933,4,No,4,Product quality,Micro-influencers,Often,Yes,Lower prices
21,Female,London,10800,Graduate,"Instagram, Twitter",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,0,4,Home & Living,"Discounts or offers, Positive product reviews",Price,5,1305,2136,5,Yes,3,Trust,Mid-tier influencers,Sometimes,Yes,No suggestions
19,Male,Mumbai,29400,Graduate,"TikTok, Others",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,4,4,Technology,Peer influence,Product quality concerns,3,2080,2336,3,Yes,5,Trust,Micro-influencers,Sometimes,Yes,No suggestions
34,Female,Mumbai,10800,High School,"Others, YouTube",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,3,3,"Others, Fitness","Discounts or offers, Positive product reviews",Return policies,2,498,756,3,Yes,1,Trust,Micro-influencers,Sometimes,Yes,Improve product quality
37,Female,London,24000,Graduate,"Others, Twitter, TikTok",Often,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,2,2,"Fashion, Technology","Positive product reviews, Peer influence, Brand reputation",Product quality concerns,4,1430,1743,4,Yes,5,Trust,Mid-tier influencers,Rarely,No,Limit sponsored content
16,Male,Sydney,17500,High School,"TikTok, Others, YouTube",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,4,"Beauty, Fitness","Peer influence, Quality of content",Price,5,3071,2807,2,Yes,4,Other,Micro-influencers,Rarely,Yes,Collaborate with trusted influencers
38,Male,Dubai,15600,Postgraduate,"TikTok, Facebook, Others",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,4,"Fashion, Technology",Positive product reviews,"Return policies, Delivery issues",4,2915,3750,3,No,5,Other,Micro-influencers,Sometimes,No,Improve product quality
37,Female,Mumbai,22200,Graduate,"Others, Twitter",Often,"Macro-influencers (100,000 to 1 million followers)",Online search,1,4,Others,"Quality of content, Positive product reviews",Authenticity of product,5,1337,1291,2,Yes,3,Trust,Mega-influencers,Always,Yes,No suggestions
27,Female,London,9800,Graduate,"YouTube, Others, Facebook",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,0,5,Fitness,"Brand reputation, Positive product reviews, Peer influence","Product quality concerns, Authenticity of product",3,1525,1348,3,No,4,Product quality,Mega-influencers,Sometimes,No,Highlight local brands
29,Female,New York,45100,Graduate,"Instagram, TikTok, Twitter",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,6,4,Technology,"Discounts or offers, Positive product reviews, Quality of content","Return policies, Authenticity of product",1,4063,3830,5,Yes,2,Trust,Micro-influencers,Often,Yes,Better product reviews
25,Female,London,9700,Graduate,"YouTube, Instagram, TikTok",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,3,"Home & Living, Technology","Peer influence, Positive product reviews","Product quality concerns, Delivery issues",3,3456,4237,5,No,3,Price,Micro-influencers,Never,Yes,Highlight local brands
26,Male,Berlin,7800,Graduate,"YouTube, Others",Often,Mega-influencers (Over 1 million followers),Through influencer content,1,4,"Fashion, Food & Beverages","Quality of content, Brand reputation",Price,4,2927,4597,3,Yes,4,Trust,Macro-influencers,Sometimes,Yes,Improve product quality
21,Female,Dubai,18500,Other,"Twitter, TikTok, Others",Often,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,2,4,"Others, Fitness","Positive product reviews, Peer influence",Return policies,4,3805,4613,4,Yes,4,Other,Micro-influencers,Always,Yes,Highlight local brands
32,Female,Sydney,15200,Postgraduate,"Instagram, Twitter",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,3,5,Others,Quality of content,Product quality concerns,4,4134,4710,3,Yes,3,Other,Micro-influencers,Always,Yes,No suggestions
28,Male,Sydney,11800,Graduate,"Instagram, Others",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,1,3,"Fitness, Technology","Quality of content, Discounts or offers","Return policies, Delivery issues",2,1329,1375,4,No,4,Trust,Micro-influencers,Sometimes,Yes,Better product reviews
41,Male,Berlin,14300,Postgraduate,"YouTube, Others, Twitter",Often,Mega-influencers (Over 1 million followers),Recommendations from friends/family,3,4,"Beauty, Fitness",Brand reputation,Return policies,2,2514,3251,4,Yes,3,Trust,Mid-tier influencers,Often,Yes,Limit sponsored content
39,Male,London,5700,Postgraduate,"Others, Facebook",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,1,4,"Technology, Fitness",Brand reputation,Delivery issues,1,2187,3456,3,Yes,4,Trust,Micro-influencers,Sometimes,Yes,Highlight local brands
17,Male,Sydney,17600,Graduate,"Instagram, Twitter",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,3,5,Others,"Quality of content, Positive product reviews",Price,4,3543,4417,5,Yes,3,Trust,Micro-influencers,Never,No,Limit sponsored content
17,Male,Dubai,9600,High School,"Others, Instagram",Often,Mega-influencers (Over 1 million followers),Recommendations from friends/family,2,4,"Food & Beverages, Fitness","Quality of content, Discounts or offers, Brand reputation","Delivery issues, Product quality concerns",4,1805,2172,4,Yes,4,Trust,Macro-influencers,Always,Yes,No suggestions
20,Prefer not to say,Dubai,8000,High School,"YouTube, Others",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,3,Fashion,"Discounts or offers, Quality of content","Price, Delivery issues",3,2411,3121,5,Yes,3,Trust,Mid-tier influencers,Rarely,Yes,No suggestions
34,Male,Dubai,13600,High School,"Facebook, Twitter",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,3,4,Fitness,Discounts or offers,"Return policies, Authenticity of product",1,2871,4108,3,No,2,Convenience,Micro-influencers,Never,No,Lower prices
24,Female,Dubai,16400,Graduate,"YouTube, Twitter",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,2,3,Technology,Quality of content,"Product quality concerns, Authenticity of product",3,482,796,5,Yes,5,Convenience,Macro-influencers,Sometimes,Yes,Highlight local brands
22,Male,Other,189327,Graduate,"Others, Facebook",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,4,2,"Beauty, Fitness","Quality of content, Brand reputation",Product quality concerns,3,923,1147,4,Yes,3,Convenience,Mid-tier influencers,Often,Yes,Improve product quality
27,Female,London,12700,High School,"YouTube, Facebook, TikTok",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,3,4,Fashion,Discounts or offers,Return policies,3,3442,4560,4,Yes,4,Trust,Mid-tier influencers,Often,No,Lower prices
27,Other,Mumbai,17900,Postgraduate,"TikTok, Twitter",Sometimes,Mega-influencers (Over 1 million followers),Through influencer content,2,3,Others,"Peer influence, Quality of content","Authenticity of product, Delivery issues",2,956,1599,1,No,5,Trust,Mid-tier influencers,Always,Yes,Lower prices
29,Female,Mumbai,14700,High School,"Instagram, Others",Never,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,3,5,Beauty,"Brand reputation, Positive product reviews",Product quality concerns,3,761,1085,4,No,2,Price,Mid-tier influencers,Rarely,No,Improve product quality
43,Female,Mumbai,10000,Graduate,"TikTok, Instagram, Twitter",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,4,2,Others,"Brand reputation, Discounts or offers","Delivery issues, Price",5,1097,1267,5,No,3,Trust,Micro-influencers,Often,Yes,Limit sponsored content
25,Female,Other,10100,Postgraduate,"Instagram, YouTube, Twitter",Often,"Macro-influencers (100,000 to 1 million followers)",Online search,1,1,"Fitness, Fashion","Quality of content, Positive product reviews","Authenticity of product, Delivery issues",1,549,920,5,Yes,3,Convenience,Micro-influencers,Often,Yes,Improve product quality
16,Male,Dubai,17600,Postgraduate,"Instagram, Others, Twitter",Always,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,4,Home & Living,"Discounts or offers, Peer influence",Return policies,4,3248,5374,3,Yes,5,Trust,Mega-influencers,Sometimes,Yes,Better product reviews
33,Female,New York,30700,Graduate,"TikTok, Facebook, YouTube",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,0,3,"Technology, Others",Brand reputation,"Authenticity of product, Return policies",5,2308,3897,4,Yes,3,Convenience,Macro-influencers,Sometimes,Yes,Better product reviews
30,Male,New York,8400,Graduate,"Twitter, Instagram",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,4,3,Home & Living,Positive product reviews,Return policies,1,1473,1728,5,Yes,3,Product quality,Mega-influencers,Often,Yes,Need more transparency
27,Male,Other,14200,Graduate,"YouTube, Instagram, Twitter",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,2,4,Others,"Positive product reviews, Discounts or offers",Product quality concerns,4,6663,9941,2,Yes,5,Price,Mid-tier influencers,Often,No,Limit sponsored content
25,Female,Berlin,6600,Postgraduate,"Others, Facebook, TikTok",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,0,3,"Fitness, Beauty","Discounts or offers, Brand reputation",Product quality concerns,5,871,1181,2,Yes,4,Convenience,Micro-influencers,Sometimes,Yes,Highlight local brands
22,Male,Berlin,12600,High School,"Instagram, Others, Facebook",Rarely,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,4,5,Food & Beverages,"Peer influence, Quality of content, Brand reputation","Return policies, Delivery issues",4,1612,2090,5,Yes,5,Trust,Micro-influencers,Sometimes,No,Lower prices
35,Male,Mumbai,15900,Graduate,"Others, Instagram",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,0,3,Fashion,"Positive product reviews, Discounts or offers, Peer influence",Return policies,5,9076,13012,3,Yes,3,Convenience,Macro-influencers,Sometimes,No,No suggestions
24,Male,Other,12300,Graduate,"TikTok, YouTube, Others",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,2,3,"Beauty, Others","Peer influence, Quality of content",Price,4,2395,3864,4,Yes,5,Trust,Mid-tier influencers,Often,No,Lower prices
29,Male,Mumbai,4900,Postgraduate,"Instagram, YouTube, Facebook",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Online search,1,4,"Beauty, Others","Peer influence, Discounts or offers, Quality of content",Product quality concerns,3,2948,2748,3,Yes,4,Product quality,Mid-tier influencers,Never,No,No suggestions
27,Female,Sydney,21800,Graduate,"Instagram, Twitter, TikTok",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,1,3,"Food & Beverages, Beauty","Discounts or offers, Positive product reviews, Brand reputation",Price,4,4510,3915,3,No,2,Trust,Mid-tier influencers,Often,Yes,Limit sponsored content
20,Male,Sydney,18700,Other,"Instagram, TikTok, Facebook",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,3,4,Fashion,"Quality of content, Positive product reviews, Brand reputation, Discounts or offers, Peer influence",Return policies,2,1657,2223,3,Yes,5,Price,Mid-tier influencers,Sometimes,No,Need more transparency
32,Male,Sydney,11200,Graduate,"Instagram, Facebook, Twitter",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,0,2,Food & Beverages,"Positive product reviews, Discounts or offers",Product quality concerns,3,1252,1402,2,Yes,3,Product quality,Macro-influencers,Always,Yes,Need more transparency
19,Male,Berlin,8200,Graduate,"Facebook, Others, Twitter",Never,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,3,3,Fashion,"Discounts or offers, Quality of content",Product quality concerns,3,4506,3852,3,Yes,3,Trust,Micro-influencers,Rarely,Yes,Better product reviews
33,Female,London,10700,High School,"Twitter, YouTube",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,2,4,Technology,"Quality of content, Peer influence, Positive product reviews","Return policies, Price",3,2055,2787,3,Yes,5,Trust,Macro-influencers,Rarely,No,Lower prices
23,Female,London,4900,Graduate,"TikTok, Facebook",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,2,3,Food & Beverages,"Brand reputation, Discounts or offers",Authenticity of product,4,1014,909,3,Yes,3,Other,Micro-influencers,Never,Yes,Need more transparency
38,Prefer not to say,London,4200,Graduate,"Others, Instagram",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,2,3,"Fashion, Food & Beverages","Peer influence, Discounts or offers",Return policies,3,1334,1321,4,Yes,5,Price,Mid-tier influencers,Often,No,Lower prices
22,Prefer not to say,Dubai,12300,Postgraduate,"Facebook, Twitter",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,1,3,"Fitness, Home & Living, Others, Technology","Peer influence, Brand reputation",Price,3,188,231,4,No,1,Price,Mega-influencers,Sometimes,No,Improve product quality
38,Female,New York,19300,Graduate,"Instagram, Facebook",Often,"Macro-influencers (100,000 to 1 million followers)",Online search,1,1,Others,"Peer influence, Discounts or offers",Price,5,5588,8994,2,No,4,Convenience,Macro-influencers,Sometimes,No,Highlight local brands
18,Female,London,19700,Postgraduate,"Others, Facebook",Often,Mega-influencers (Over 1 million followers),Through influencer content,2,4,Fashion,Discounts or offers,"Price, Delivery issues",4,2203,2486,4,Yes,3,Price,Macro-influencers,Always,No,Need more transparency
36,Female,Dubai,14300,Graduate,"TikTok, YouTube, Facebook",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,0,2,Others,Peer influence,Return policies,4,1268,1035,3,No,1,Trust,Micro-influencers,Always,Yes,Better product reviews
29,Male,Other,23100,High School,"Twitter, Others",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,3,Technology,"Positive product reviews, Peer influence","Return policies, Product quality concerns",5,2454,3776,4,Yes,3,Trust,Mid-tier influencers,Rarely,Yes,Need more transparency
30,Male,Berlin,35800,Graduate,"Twitter, TikTok, Others",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,3,2,"Food & Beverages, Fashion","Brand reputation, Discounts or offers","Price, Authenticity of product",2,1036,1014,1,Yes,4,Trust,Mid-tier influencers,Never,Yes,Need more transparency
29,Female,New York,34500,Graduate,"Instagram, YouTube",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,1,4,Beauty,"Positive product reviews, Discounts or offers",Price,4,3507,3817,4,Yes,4,Trust,Mid-tier influencers,Often,Yes,Need more transparency
16,Female,Dubai,27300,Postgraduate,"Others, TikTok, Twitter",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,0,3,Fitness,Quality of content,Authenticity of product,1,3424,4197,4,No,4,Trust,Micro-influencers,Always,Yes,Improve product quality
37,Male,Dubai,18500,Graduate,"Others, TikTok",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,2,4,"Beauty, Fitness","Discounts or offers, Brand reputation, Positive product reviews",Price,3,2141,3103,4,Yes,4,Convenience,Micro-influencers,Often,Yes,Need more transparency
31,Male,Berlin,20800,Postgraduate,"Facebook, Twitter, YouTube",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Online search,1,4,Beauty,"Positive product reviews, Peer influence, Discounts or offers",Return policies,2,1545,2498,4,Yes,3,Price,Micro-influencers,Rarely,Yes,Limit sponsored content
33,Male,Mumbai,6200,Postgraduate,"Twitter, TikTok, YouTube",Often,"Macro-influencers (100,000 to 1 million followers)",Recommendations from friends/family,1,5,"Others, Technology","Brand reputation, Discounts or offers, Peer influence",Return policies,4,4768,7022,5,Yes,4,Convenience,Micro-influencers,Always,No,Highlight local brands
16,Female,Berlin,14800,Graduate,"Others, TikTok",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,3,1,Technology,"Positive product reviews, Peer influence, Brand reputation",Delivery issues,3,124,204,2,Yes,3,Trust,Micro-influencers,Often,No,Lower prices
17,Male,New York,26000,Postgraduate,"Instagram, TikTok, Twitter",Rarely,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,5,3,Home & Living,Brand reputation,"Authenticity of product, Product quality concerns",3,1950,2800,5,No,3,Price,Mid-tier influencers,Sometimes,Yes,Highlight local brands
24,Female,Berlin,17800,Other,"YouTube, Facebook, Twitter",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,5,2,Fashion,"Positive product reviews, Peer influence",Product quality concerns,3,2689,3449,3,Yes,4,Product quality,Micro-influencers,Sometimes,No,Collaborate with trusted influencers
22,Female,Sydney,4800,Graduate,"Facebook, TikTok, Others",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,4,3,Others,Peer influence,Return policies,2,1387,2073,5,Yes,4,Convenience,Micro-influencers,Often,Yes,Improve product quality
28,Male,Sydney,13700,Postgraduate,"TikTok, Twitter, YouTube",Always,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,1,5,Others,"Discounts or offers, Quality of content, Positive product reviews","Delivery issues, Product quality concerns",3,2467,3268,4,Yes,4,Price,Mid-tier influencers,Never,Yes,Limit sponsored content
21,Female,Other,4500,Postgraduate,"TikTok, Instagram, YouTube",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,3,4,"Technology, Food & Beverages","Peer influence, Discounts or offers","Product quality concerns, Authenticity of product",3,2347,1915,2,No,4,Trust,Mid-tier influencers,Sometimes,Yes,Lower prices
40,Male,Mumbai,19700,Postgraduate,"Instagram, TikTok, YouTube",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,0,3,Technology,"Discounts or offers, Peer influence",Delivery issues,3,4770,7827,5,Yes,3,Price,Mid-tier influencers,Sometimes,Yes,Collaborate with trusted influencers
27,Male,Other,21700,Graduate,"TikTok, YouTube, Facebook",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,0,4,"Fashion, Fitness","Brand reputation, Peer influence",Price,2,1326,2098,5,Yes,2,Product quality,Micro-influencers,Never,No,Better product reviews
45,Male,Sydney,19000,Graduate,"TikTok, Others",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,4,1,"Food & Beverages, Fashion",Peer influence,Delivery issues,3,1109,1001,3,Yes,2,Trust,Mega-influencers,Often,Yes,Improve product quality
61,Female,Dubai,12900,Graduate,"Twitter, YouTube, Others",Often,"Macro-influencers (100,000 to 1 million followers)",Other,1,5,Home & Living,"Peer influence, Discounts or offers, Brand reputation, Quality of content",Product quality concerns,3,2823,2344,5,Yes,3,Convenience,Macro-influencers,Never,Yes,Collaborate with trusted influencers
17,Male,Dubai,24600,Graduate,"YouTube, TikTok",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,0,3,"Home & Living, Fashion","Positive product reviews, Peer influence","Return policies, Authenticity of product",3,2123,2575,3,No,4,Trust,Mega-influencers,Never,Yes,Highlight local brands
17,Male,Sydney,25500,Other,"Others, Twitter",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,2,4,Others,Discounts or offers,Authenticity of product,4,1123,1110,3,Yes,4,Trust,Micro-influencers,Sometimes,No,Collaborate with trusted influencers
